"ID_INDIV","GENDER","DAY","pa_gral","na_gral","V1RelSat"
3261,"male",39,2.1,1.4,6.5
3261,"male",40,2,1.3,6.5
3261,"male",41,3.3,1.5,6.5
3261,"male",42,2.5,1,6.5
3262,"female",1,2.4,1.3,6
3262,"female",2,2.5,1.2,6
3262,"female",3,1.4,1.9,6
3262,"female",4,2.7,1.2,6
3262,"female",5,2.9,1.5,6
3262,"female",6,3.7,1.4,6
3262,"female",7,1.9,1.8,6
3262,"female",8,3,1.1,6
3262,"female",9,3.7,1.8,6
3262,"female",10,3.2,1.4,6
3262,"female",11,2.6,1.5,6
3262,"female",12,2.6,1.7,6
3262,"female",13,2.5,1.8,6
3262,"female",14,3.1,1.9,6
3262,"female",15,2.3,1,6
3262,"female",16,2.1,1.1,6
3262,"female",17,2.7,1.1,6
3262,"female",18,1.9,1.4,6
3262,"female",19,1.8,1.8,6
3262,"female",20,1.8,1.2,6
3262,"female",21,3,1.2,6
3262,"female",22,2.2,1.4,6
3262,"female",23,2.1,1,6
3262,"female",24,1.7,1.7,6
3262,"female",25,2.2,1.5,6
3262,"female",26,2,1.1,6
3262,"female",27,2.3,1.4,6
3262,"female",28,2.9,1.3,6
3262,"female",29,3,1.7,6
3262,"female",30,2.2,1.11,6
3262,"female",31,2.4,1.1,6
3262,"female",32,1.6,1.1,6
3262,"female",33,2.6,1.4,6
3262,"female",34,2.2,1.5,6
3262,"female",35,2,1.3,6
3262,"female",36,2.4,1.3,6
3262,"female",37,1.4,1.8,6
3262,"female",38,2.4,1.2,6
3262,"female",39,2.6,1,6
3262,"female",40,1.3,2.9,6
3262,"female",41,1.56,2.2,6
3271,"male",1,3.8,2.1,6.66666666666667
3271,"male",2,3.8,1.2,6.66666666666667
3271,"male",3,4.1,1.5,6.66666666666667
3271,"male",4,4.1,1.1,6.66666666666667
3271,"male",5,4.1,1,6.66666666666667
3271,"male",6,3.4,1.1,6.66666666666667
3271,"male",7,1.8,1.5,6.66666666666667
3271,"male",8,4,1,6.66666666666667
3271,"male",9,3.5,1,6.66666666666667
3271,"male",10,4,1,6.66666666666667
3271,"female",11,4.3,1,6.66666666666667
3271,"male",12,3.8,1.2,6.66666666666667
3271,"male",13,4,1.2,6.66666666666667
3271,"male",14,4,1,6.66666666666667
3271,"male",15,3.9,1,6.66666666666667
3271,"male",16,4.1,1,6.66666666666667
3271,"male",17,3.9,2.2,6.66666666666667
3271,"male",18,3.8,1,6.66666666666667
3271,"male",19,4.7,1,6.66666666666667
3271,"male",20,4,1.1,6.66666666666667
3271,"male",21,3.9,2.8,6.66666666666667
3271,"male",22,3.7,1.5,6.66666666666667
3271,"male",23,3.7,1,6.66666666666667
3271,"male",24,3.7,1.3,6.66666666666667
3271,"male",25,4.4,1,6.66666666666667
3271,"male",26,3.6,2,6.66666666666667
3271,"male",27,4,1.8,6.66666666666667
3271,"male",28,3.6,1,6.66666666666667
3271,"male",29,4,1,6.66666666666667
3271,"male",30,3.4,1.2,6.66666666666667
3271,"male",31,3,1.5,6.66666666666667
3271,"male",32,4.8,1,6.66666666666667
3271,"male",33,4.1,1,6.66666666666667
3271,"male",34,4,1,6.66666666666667
3271,"male",35,4.1,1,6.66666666666667
3271,"male",36,5,1.7,6.66666666666667
3271,"male",37,4.2,1,6.66666666666667
3271,"male",38,4.4,1,6.66666666666667
3271,"male",39,4,1,6.66666666666667
3271,"male",40,3.8,1.6,6.66666666666667
3271,"male",41,3.8,1,6.66666666666667
3271,"male",42,3.3,2.2,6.66666666666667
3271,"male",43,4.1,1,6.66666666666667
3271,"male",44,4.1,1,6.66666666666667
3271,"male",45,3.6,1,6.66666666666667
3271,"male",46,4.3,1,6.66666666666667
3271,"male",47,3.7,1.1,6.66666666666667
3271,"male",48,4.3,1,6.66666666666667
3271,"male",49,4.3,1,6.66666666666667
3271,"male",50,4.2,1,6.66666666666667
3271,"male",51,4.5,1,6.66666666666667
3271,"male",52,4.4,1,6.66666666666667
3271,"male",53,4,1,6.66666666666667
3271,"male",54,3.5,1.2,6.66666666666667
3271,"male",55,4.2,1.5,6.66666666666667
3271,"male",56,4.7,1,6.66666666666667
3272,"female",1,1.1,1,4.33333333333333
3272,"female",2,3.4,1.1,4.33333333333333
3272,"female",3,1.9,1.7,4.33333333333333
3272,"female",4,2.3,2.1,4.33333333333333
3272,"female",5,1.9,1.5,4.33333333333333
3272,"female",6,1.8,1.4,4.33333333333333
3272,"female",7,2.4,1.2,4.33333333333333
3272,"female",8,2.4,1.1,4.33333333333333
3272,"female",9,2.2,1,4.33333333333333
3272,"female",10,2.4,1.9,4.33333333333333
3272,"female",11,2.9,2,4.33333333333333
3272,"female",12,2.9,1.8,4.33333333333333
3272,"female",13,2.9,1.3,4.33333333333333
3272,"female",14,2.6,1.1,4.33333333333333
3272,"female",15,2.7,1.1,4.33333333333333
3272,"female",16,2.3,1,4.33333333333333
3272,"female",17,2.3,1.2,4.33333333333333
3272,"female",18,2.7,1.1,4.33333333333333
3272,"female",19,2,1.4,4.33333333333333
3272,"female",20,1.8,1.8,4.33333333333333
3272,"female",21,2.5,1.2,4.33333333333333
3272,"female",22,2.7,1.6,4.33333333333333
3272,"female",23,2.7,1.1,4.33333333333333
3272,"female",24,2.1,1,4.33333333333333
3272,"female",26,2.5,1.2,4.33333333333333
3272,"female",27,2.6,1.7,4.33333333333333
3272,"female",30,2.8,1.5,4.33333333333333
3272,"female",31,2.4,1.2,4.33333333333333
3272,"female",32,2.6,1,4.33333333333333
